Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"ControlMLLM: Training-Free Visual Prompt Learning for Multimodal Large Language Models","Our training-free method for integrating visual prompts into Multimodal Large Language Models (MLLMs) enhances attention response and enables detailed region description and reasoning without substantial training costs or model retraining.","Ming-Kuan Wu, Xinyue Cai, Jiayi Ji, Jiale Li, Oucheng Huang, Gen Luo, Hao Fei, Xiaoshuai Sun, Rongrong Ji",2024,29,"In this work, we propose a training-free method to inject visual prompts into Multimodal Large Language Models (MLLMs) through test-time optimization of a learnable latent variable. We observe that attention, as the core module of MLLMs, connects text prompt tokens and visual tokens, ultimately determining the final results. Our approach involves adjusting visual tokens from the MLP output at test time, controlling the attention response to ensure text prompt tokens attend to visual tokens in referring regions. We optimize a learnable latent variable based on an energy function, enhancing the strength of referring regions in the attention map. This enables detailed region description and reasoning without the need for substantial training costs or model retraining. Our method offers a promising direction for integrating referring abilities into MLLMs, and supports referring with box, mask, scribble and point. The results demonstrate that our method exhibits out-of-domain generalization and interpretability.","","ArXiv","","10.48550/arxiv.2407.21534","https://consensus.app/papers/controlmllm-trainingfree-visual-prompt-learning-for-wu-cai/7afdc1fd8aa55d7499ec883994dbea07/"
"Realizing the possibilities of the large language models: Strategies for prompt engineering in educational inquiries","","Ana-Paula Correia, Sean Hickey, Fan Xu",2025,3,"ABSTRACT This article examines the potential of Large Language Models (LLMs) to transform educational inquiries, emphasizing effective prompt engineering strategies. It begins by introducing LLMs and applications of generative AI tools in education. The article explores the fundamental principles of prompt engineering and LLMs, outlining strategies for educators to interact effectively with these models. It emphasizes the vital role of teacher-LLM interactions, highlighting the need for carefully crafted prompts to elicit high quality and pedagogically valuable responses. We discuss chain-of-thought prompting as a method for promoting deeper reasoning in LLM outputs. We offer other practical strategies for effective prompt engineering, providing actionable insights for teachers to enhance their professional practices. We also address ethical and practical considerations, including bias in AI responses and the importance of teacher autonomy and professional judgment.","","Theory Into Practice","1","10.1080/00405841.2025.2528545","https://consensus.app/papers/realizing-the-possibilities-of-the-large-language-models-correia-hickey/0e0f9ba1e1f55fbf86d3edc98a97ebbd/"
"Large Language Models Facilitate Vision Reflection in Image Classification","Vision reflection in large multimodal models improves image classification accuracy by mapping visual features into explicit textual concepts, allowing the language model to reason about prediction plausibility using commonsense knowledge.","Guoyuan An, JaeYoon Kim, Sung-eui Yoon",2025,0,"This paper presents several novel findings on the explainability of vision reflection in large multimodal models (LMMs). First, we show that prompting an LMM to verify the prediction of a specialized vision model can improve recognition accuracy, even on benchmarks like ImageNet, despite prior evidence that LMMs typically underperform dedicated vision encoders. Second, we analyze the internal behavior of vision reflection and find that the vision-language connector maps visual features into explicit textual concepts, allowing the language model to reason about prediction plausibility using commonsense knowledge. We further observe that replacing a large number of vision tokens with only a few text tokens still enables LLaVA to generate similar answers, suggesting that LMMs may rely primarily on a compact set of distilled textual representations rather than raw vision features. Third, we show that a training-free connector can enhance LMM performance in fine-grained recognition tasks, without extensive feature-alignment training. Together, these findings offer new insights into the explainability of vision-language models and suggest that vision reflection is a promising strategy for achieving robust and interpretable visual recognition.","","ArXiv","","10.48550/arxiv.2508.06525","https://consensus.app/papers/large-language-models-facilitate-vision-reflection-in-an-kim/3404aacdebbc5455b1858021f5df8797/"
"Foundation Models Defining a New Era in Vision: A Survey and Outlook","Foundation models in computer vision enable contextual reasoning, generalization, and prompt capabilities, bridging vision, text, audio, and depth modalities, and addressing challenges in evaluation, real-world understanding, and interpretability.","Muhammad Awais, Muzammal Naseer, Salman Khan, R. Anwer, Hisham Cholakkal, Mubarak Shah, Ming-Hsuan Yang, F. Khan",2025,210,"Vision systems that see and reason about the compositional nature of visual scenes are fundamental to understanding our world. The complex relations between objects and their locations, ambiguities, and variations in the real-world environment can be better described in human language, naturally governed by grammatical rules and other modalities such as audio and depth. The models learned to bridge the gap between such modalities and large-scale training data facilitate contextual reasoning, generalization, and prompt capabilities at test time. These models are referred to as foundation models. The output of such models can be modified through human-provided prompts without retraining, e.g., segmenting a particular object by providing a bounding box, having interactive dialogues by asking questions about an image or video scene or manipulating the robot's behavior through language instructions. In this survey, we provide a comprehensive review of such emerging foundation models, including typical architecture designs to combine different modalities (vision, text, audio, etc.), training objectives (contrastive, generative), pre-training datasets, fine-tuning mechanisms, and the common prompting patterns; textual, visual, and heterogeneous. We discuss the open challenges and research directions for foundation models in computer vision, including difficulties in their evaluations and benchmarking, gaps in their real-world understanding, limitations of contextual understanding, biases, vulnerability to adversarial attacks, and interpretability issues. We review recent developments in this field, covering a wide range of applications of foundation models systematically and comprehensively.","","IEEE Transactions on Pattern Analysis and Machine Intelligence","1","10.1109/tpami.2024.3506283","https://consensus.app/papers/foundation-models-defining-a-new-era-in-vision-a-survey-and-awais-naseer/d7ff4b0c0a6f5fd5894dc186d0270cec/"
"Learning to Prompt for Vision-Language Models","Context Optimization (CoOp) is a simple approach that adapts CLIP-like vision-language models for downstream image recognition, reducing the time-consuming prompt engineering process and improving domain generalization performance.","Kaiyang Zhou, Jingkang Yang, Chen Change Loy, Ziwei Liu",2021,3333,"Large pre-trained vision-language models like CLIP have shown great potential in learning representations that are transferable across a wide range of downstream tasks. Different from the traditional representation learning that is based mostly on discretized labels, vision-language pre-training aligns images and texts in a common feature space, which allows zero-shot transfer to a downstream task via prompting, i.e., classification weights are synthesized from natural language describing classes of interest. In this work, we show that a major challenge for deploying such models in practice is prompt engineering, which requires domain expertise and is extremely time-consuming—one needs to spend a significant amount of time on words tuning since a slight change in wording could have a huge impact on performance. Inspired by recent advances in prompt learning research in natural language processing (NLP), we propose Context Optimization (CoOp), a simple approach specifically for adapting CLIP-like vision-language models for downstream image recognition. Concretely, CoOp models a prompt’s context words with learnable vectors while the entire pre-trained parameters are kept fixed. To handle different image recognition tasks, we provide two implementations of CoOp: unified context and class-specific context. Through extensive experiments on 11 datasets, we demonstrate that CoOp requires as few as one or two shots to beat hand-crafted prompts with a decent margin and is able to gain significant improvements over prompt engineering with more shots, e.g., with 16 shots the average gain is around 15% (with the highest reaching over 45%). Despite being a learning-based approach, CoOp achieves superb domain generalization performance compared with the zero-shot model using hand-crafted prompts.","","International Journal of Computer Vision","1","10.1007/s11263-022-01653-1","https://consensus.app/papers/learning-to-prompt-for-visionlanguage-models-zhou-yang/f5b43e623b1e5f6086aa3ae81eafac88/"
"Advancing Multimodal Large Language Models: Optimizing Prompt Engineering Strategies for Enhanced Performance","The Greedy PES methodology optimizes prompt engineering strategies for multimodal large language models, leading to improved performance across diverse multimodal tasks and datasets.","Minjun Son, Sungjin Lee",2025,5,"This study investigates prompt engineering (PE) strategies to mitigate hallucination, a key limitation of multimodal large language models (MLLMs). To address this issue, we explore five prominent multimodal PE techniques: in-context learning (ICL), chain of thought (CoT), step-by-step reasoning (SSR), tree of thought (ToT), and retrieval-augmented generation (RAG). These techniques are systematically applied across multiple datasets with distinct domains and characteristics. Based on the empirical findings, we propose the greedy prompt engineering strategy (Greedy PES), a methodology for optimizing PE application across different datasets and MLLM models. To evaluate user satisfaction with MLLM-generated responses, we adopt a comprehensive set of evaluation metrics, including BLEU, ROUGE, METEOR, S-BERT, MoverScore, and CIDEr. A weighted aggregate evaluation score is introduced to provide a holistic assessment of model performance under varying conditions. Experimental results demonstrate that the optimal prompt engineering strategy varies significantly depending on both dataset properties and the MLLM model used. Specifically, datasets categorized as general benefit the most from ICL, ToT, and RAG, whereas mathematical datasets perform optimally with ICL, SSR, and ToT. In scientific reasoning tasks, RAG and SSR emerge as the most effective strategies. Applying Greedy PES leads to a substantial improvement in performance across different multimodal tasks, achieving an average evaluation score enhancement of 184.3% for general image captioning, 90.3% for mathematical visual question answering (VQA), and 49.1% for science visual question answering (VQA) compared to conventional approaches. These findings highlight the effectiveness of structured PE strategies in optimizing MLLM performance and provide a robust framework for PE-driven model enhancement across diverse multimodal applications.","","Applied Sciences","2","10.3390/app15073992","https://consensus.app/papers/advancing-multimodal-large-language-models-optimizing-son-lee/7dec54c9dc6053d7bd616a7a65257b36/"
"Prompt Programming for Large Language Models: Beyond the Few-Shot Paradigm","0-shot prompts can significantly outperform few-shot prompts in controlling and evaluating large language models, with metaprompts seeding models to generate their own natural language prompts for various tasks.","Laria Reynolds, Kyle McDonell",2021,1166,"Prevailing methods for mapping large generative language models to supervised tasks may fail to sufficiently probe models’ novel capabilities. Using GPT-3 as a case study, we show that 0-shot prompts can significantly outperform few-shot prompts. We suggest that the function of few-shot examples in these cases is better described as locating an already learned task rather than meta-learning. This analysis motivates rethinking the role of prompts in controlling and evaluating powerful language models. We discuss methods of prompt programming, emphasizing the usefulness of considering prompts through the lens of natural language. We explore techniques for exploiting the capacity of narratives and cultural anchors to encode nuanced intentions and techniques for encouraging deconstruction of a problem into components before producing a verdict. Informed by this more encompassing theory of prompt programming, we also introduce the idea of a metaprompt that seeds the model to generate its own natural language prompts for a range of tasks. Finally, we discuss how these more general methods of interacting with language models can be incorporated into existing and future benchmarks and practical applications.","","Extended Abstracts of the 2021 CHI Conference on Human Factors in Computing Systems","","10.1145/3411763.3451760","https://consensus.app/papers/prompt-programming-for-large-language-models-beyond-the-reynolds-mcdonell/dad29aef87ef54e493a9708428cd936a/"
"Large Language Models Are Human-Level Prompt Engineers","Automatic Prompt Engineer (APE) effectively generates and selects natural language instructions for large language models, outperforming previous methods and human-level prompts on 19 out of 24 NLP tasks.","Yongchao Zhou, Andrei Ioan Muresanu, Ziwen Han, Keiran Paster, Silviu Pitis, Harris Chan, Jimmy Ba",2022,1171,"By conditioning on natural language instructions, large language models (LLMs) have displayed impressive capabilities as general-purpose computers. However, task performance depends significantly on the quality of the prompt used to steer the model, and most effective prompts have been handcrafted by humans. Inspired by classical program synthesis and the human approach to prompt engineering, we propose Automatic Prompt Engineer (APE) for automatic instruction generation and selection. In our method, we treat the instruction as the""program,""optimized by searching over a pool of instruction candidates proposed by an LLM in order to maximize a chosen score function. To evaluate the quality of the selected instruction, we evaluate the zero-shot performance of another LLM following the selected instruction. Experiments on 24 NLP tasks show that our automatically generated instructions outperform the prior LLM baseline by a large margin and achieve better or comparable performance to the instructions generated by human annotators on 19/24 tasks. We conduct extensive qualitative and quantitative analyses to explore the performance of APE. We show that APE-engineered prompts can be applied to steer models toward truthfulness and/or informativeness, as well as to improve few-shot learning performance by simply prepending them to standard in-context learning prompts. Please check out our webpage at https://sites.google.com/view/automatic-prompt-engineer.","","ArXiv","","10.48550/arxiv.2211.01910","https://consensus.app/papers/large-language-models-are-humanlevel-prompt-engineers-zhou-muresanu/42fbed8187885fccb76fa6386f3a9fb7/"
"Rapid review: Growing usage of Multimodal Large Language Models in healthcare","Multimodal Large Language Models (MLLMs) show potential for healthcare transformation through multimodal data integration, but methodological inconsistencies, limited validation, and underdeveloped deployment strategies require further improvements.","Pallavi Gupta, Zhihong Zhang, Meijia Song, Martin Michalowski, Xiao Hu, Gregor Stiglic, Maxim Topaz",2025,3,"","systematic review","Journal of biomedical informatics","1","10.1016/j.jbi.2025.104875","https://consensus.app/papers/rapid-review-growing-usage-of-multimodal-large-language-gupta-zhang/5ba05cdefcdf555cbd99029344aa12b1/"
"A Systematic Survey of Prompt Engineering on Vision-Language Foundation Models","Prompt engineering enables the adaptation of pre-trained vision-language models to new tasks, enabling easier application in real-world tasks without updating model parameters.","Jindong Gu, Zhen Han, Shuo Chen, Ahmad Beirami, Bailan He, Gengyuan Zhang, Ruotong Liao, Yao Qin, Volker Tresp, Philip H. S. Torr",2023,206,"—Prompt engineering is a technique that involves augmenting a large pre-trained model with task-speciﬁc hints, known as prompts, to adapt the model to new tasks. Prompts can be created manually as natural language instructions or generated automatically as either natural language instructions or vector representations. Prompt engineering enables the ability to perform predictions based solely on prompts without updating model parameters, and the easier application of large pre-trained models in real-world tasks. In past years, Prompt engineering has been well-studied in natural language processing. Recently, it has also been intensively studied in vision-language modeling. However, there is currently a lack of a systematic overview of prompt engineering on pre-trained vision-language models. This paper aims to provide a comprehensive survey of cutting-edge research in prompt engineering on three types of vision-language models: multimodal-to-text generation models ( e.g., Flamingo), image-text matching models ( e.g., CLIP), and text-to-image generation models ( e.g., Stable Diffusion). For each type of model, a brief model summary, prompting methods, prompting-based applications, and the corresponding responsibility and integrity issues are summarized and discussed. Furthermore, the commonalities and differences between prompting on vision-language models, language models, and vision models are also discussed. The challenges, future directions, and research opportunities are summarized to foster future research on this topic.","","ArXiv","","10.48550/arxiv.2307.12980","https://consensus.app/papers/a-systematic-survey-of-prompt-engineering-on-gu-han/5c5e3d032b2a58b080a043833d3ae321/"
"Mutual Prompt Leaning for Vision Language Models","Our method improves vision language models' transferability across tasks by incorporating fine-grained text prompts and text-reorganized visual prompts, enhancing performance on various classification benchmarks.","Sifan Long, Zhen Zhao, Junkun Yuan, Zichang Tan, Jiangjiang Liu, Jingyuan Feng, Shengsheng Wang, Jingdong Wang",2024,4,"Large pre-trained vision language models (VLMs) have demonstrated impressive representation learning capabilities, but their transferability across various downstream tasks heavily relies on prompt learning. Since VLMs consist of text and visual sub-branches, existing prompt approaches are mainly divided into text and visual prompts. Recent text prompt methods have achieved great performance by designing input-condition prompts that encompass both text and image domain knowledge. However, roughly incorporating the same image feature into each learnable text token may be unjustifiable, as it could result in learnable text prompts being concentrated on one or a subset of characteristics. In light of this, we propose a fine-grained text prompt (FTP) that decomposes the single global image features into several finer-grained semantics and incorporates them into corresponding text prompt tokens. On the other hand, current methods neglect valuable text semantic information when building the visual prompt. Furthermore, text information contains redundant and negative category semantics. To address this, we propose a text-reorganized visual prompt (TVP) that reorganizes the text descriptions of the current image to construct the visual prompt, guiding the image branch to attend to class-related representations. By leveraging both FTP and TVP, we enable mutual prompting between the text and visual modalities, unleashing their potential to tap into the representation capabilities of VLMs. Extensive experiments on 11 classification benchmarks show that our method surpasses existing methods by a large margin. In particular, our approach improves recent state-of-the-art CoCoOp by 4.79% on new classes and 3.88% on harmonic mean over eleven classification benchmarks.","","International Journal of Computer Vision","1","10.1007/s11263-024-02243-z","https://consensus.app/papers/mutual-prompt-leaning-for-vision-language-models-long-zhao/3dc1149178285d23a4b44091922c28e1/"
"PixFoundation: Are We Heading in the Right Direction with Pixel-level Vision Foundation Models?","Pixel-level vision foundation models can perform well in visual question answering, but their grounding ability may be weaker than models trained without pixel-level supervision.","Mennatullah Siam",2025,3,"Multiple works have emerged to push the boundaries on multi-modal large language models (MLLMs) towards pixel-level understanding. The current trend in pixel-level MLLMs is to train with pixel-level grounding supervision on large-scale labelled data with specialized decoders for the segmentation task. However, we show that such MLLMs when evaluated on recent challenging vision-centric benchmarks, exhibit a weak ability in visual question answering (VQA). Surprisingly, some of these methods even downgrade the grounding ability of MLLMs that were never trained with such pixel-level supervision. In this work, we propose two novel challenging benchmarks with paired evaluation for both VQA and grounding. We show that MLLMs without pixel-level grounding supervision can outperform the state of the art in such tasks. Our paired benchmarks and evaluation enable additional analysis on the reasons for failure with respect to VQA and/or grounding. Furthermore, we propose simple baselines to extract the grounding information that can be plugged into any MLLM, which we call PixFoundation. More importantly, we study the research question of""When does grounding emerge in MLLMs that are not trained with pixel-level grounding supervision?""We show that grounding can coincide with object parts, its location, appearance, context or state, where we show 27-45% of the examples in both benchmarks exhibit this phenomenon. Our code and datasets will be made publicly available and some are in the supplemental.","","ArXiv","","10.48550/arxiv.2502.04192","https://consensus.app/papers/pixfoundation-are-we-heading-in-the-right-direction-with-siam/d1554ce25cc959c48446b4c8fce88cd9/"
"Leveraging Prompt Engineering in Large Language Models for Accelerating Chemical Research","Prompt engineering in large language models can enhance accuracy and reliability in chemical research, accelerating the field.","Feifei Luo, Jinglang Zhang, Qilong Wang, Chunpeng Yang",2025,10,"Artificial intelligence (AI) using large language models (LLMs) such as GPTs has revolutionized various fields. Recently, LLMs have also made inroads in chemical research even for users without expertise in coding. However, applying LLMs directly may lead to ""hallucinations"", where the model generates unreliable or inaccurate information and is further exacerbated by limited data set and inherent complexity of chemical reports. To counteract this, researchers have suggested prompt engineering, which can convey human ideas formatively and unambiguously to LLMs and simultaneously improve LLMs' reasoning capability. So far, prompt engineering remains underutilized in chemistry, with many chemists barely acquainted with its principle and techniques. In this Outlook, we delve into various prompt engineering techniques and illustrate relevant examples for extensive research from metal-organic frameworks and fast-charging batteries to autonomous experiments. We also elucidate the current limitations of prompt engineering with LLMs such as incomplete or biased outcomes and constraints imposed by closed-source limitations. Although LLM-assisted chemical research is still in its early stages, the application of prompt engineering will significantly enhance accuracy and reliability, thereby accelerating chemical research.","","ACS Central Science","1","10.1021/acscentsci.4c01935","https://consensus.app/papers/leveraging-prompt-engineering-in-large-language-models-luo-zhang/3a4141c37beb589bada231017aba2cf9/"
"A Comprehensive Study of Multimodal Large Language Models for Image Quality Assessment","The closed-source GPT-4V provides a reasonable account for human perception of image quality, but is weak at discriminating fine-grained quality variations and comparing visual quality of multiple images.","Tianhe Wu, Kede Ma, Jie-Kai Liang, Yujiu Yang, Lei Zhang",2024,48,"While Multimodal Large Language Models (MLLMs) have experienced significant advancement in visual understanding and reasoning, their potential to serve as powerful, flexible, interpretable, and text-driven models for Image Quality Assessment (IQA) remains largely unexplored. In this paper, we conduct a comprehensive and systematic study of prompting MLLMs for IQA. We first investigate nine prompting systems for MLLMs as the combinations of three standardized testing procedures in psychophysics (i.e., the single-stimulus, double-stimulus, and multiple-stimulus methods) and three popular prompting strategies in natural language processing (i.e., the standard, in-context, and chain-of-thought prompting). We then present a difficult sample selection procedure, taking into account sample diversity and uncertainty, to further challenge MLLMs equipped with the respective optimal prompting systems. We assess three open-source and one closed-source MLLMs on several visual attributes of image quality (e.g., structural and textural distortions, geometric transformations, and color differences) in both full-reference and no-reference scenarios. Experimental results show that only the closed-source GPT-4V provides a reasonable account for human perception of image quality, but is weak at discriminating fine-grained quality variations (e.g., color differences) and at comparing visual quality of multiple images, tasks humans can perform effortlessly.","","","","10.48550/arxiv.2403.10854","https://consensus.app/papers/a-comprehensive-study-of-multimodal-large-language-models-wu-ma/e6b488cea7b15486bd02a520be0555d0/"
"A comprehensive taxonomy of prompt engineering techniques for large language models","Prompt engineering improves Large Language Model performance by refining input instructions, enhancing user-AI interactions and promoting AI-generated content in various domains.","Yao-Yang Liu, Zhen Zheng, Feng Zhang, Jin-Cheng Feng, Yi-Yang Fu, Ji-Dong Zhai, Bingsheng He, Xiao Zhang, Xiao-Yong Du",2025,0,"<jats:title>Abstract</jats:title>
                  <jats:p>Large Language Models (LLMs) have demonstrated remarkable performance across various downstream tasks, as evidenced by numerous studies. Since 2022, generative AI has shown significant potential in diverse application domains, including gaming, film and television, media, and finance. By 2023, the global AI-generated content (AIGC) industry had attracted over $26 billion in investment. As LLMs become increasingly prevalent, prompt engineering has emerged as a key research area to enhance user-AI interactions and improve LLM performance. The prompt, which serves as the input instruction for the LLM, is closely linked to the model’s responses. Prompt engineering refines the content and structure of prompts, thereby enhancing the performance of LLMs without changing the underlying model parameters. Despite significant advancements in prompt engineering, a comprehensive and systematic summary of existing techniques and their practical applications remains absent. To fill this gap, we investigate existing techniques and applications of prompt engineering. We conduct a thorough review and propose a novel taxonomy that provides a foundational framework for prompt construction. This taxonomy categorizes prompt engineering into four distinct aspects: profile and instruction, knowledge, reasoning and planning, and reliability. By providing a structured framework for understanding its various dimensions, we aim to facilitate the systematic design of prompts. Furthermore, we summarize existing prompt engineering techniques and explore the applications of LLMs across various domains, highlighting their interrelation with prompt engineering strategies. This survey underscores the progress of prompt engineering and its critical role in advancing AI applications, ultimately aiming to provide a systematic reference for future research and applications.</jats:p>","literature review","Frontiers of Computer Science","1","10.1007/s11704-025-50058-z","https://consensus.app/papers/a-comprehensive-taxonomy-of-prompt-engineering-liu-zheng/fff6a7c1c18556e5b6c5497be8cc88d4/"
"From Large Language Models to Large Multimodal Models: A Literature Review","Recent progress in Large Multimodal Models (LMMs) has significantly advanced Artificial General Intelligence, with a focus on architectural components, training strategies, fine-tuning guidance, and prompt engineering.","Dawei Huang, Chuan Yan, Qing Li, Xiaojiang Peng",2024,70,"With the deepening of research on Large Language Models (LLMs), significant progress has been made in recent years on the development of Large Multimodal Models (LMMs), which are gradually moving toward Artificial General Intelligence. This paper aims to summarize the recent progress from LLMs to LMMs in a comprehensive and unified way. First, we start with LLMs and outline various conceptual frameworks and key techniques. Then, we focus on the architectural components, training strategies, fine-tuning guidance, and prompt engineering of LMMs, and present a taxonomy of the latest vision–language LMMs. Finally, we provide a summary of both LLMs and LMMs from a unified perspective, make an analysis of the development status of large-scale models in the view of globalization, and offer potential research directions for large-scale models.","literature review","Applied Sciences","2","10.3390/app14125068","https://consensus.app/papers/from-large-language-models-to-large-multimodal-models-a-huang-yan/39ac3cd02ac55fa38d9445660376a800/"
"Dual Modality Prompt Tuning for Vision-Language Pre-Trained Model","The Dual-modality Prompt Tuning (DPT) method effectively adapts pre-trained vision-language models to various downstream tasks by learning both text and visual prompts simultaneously.","Yinghui Xing, Qirui Wu, De Cheng, Shizhou Zhang, Guoqiang Liang, Peng Wang, Yanning Zhang",2022,90,"With the emergence of large pretrained vison-language models such as CLIP, transferable representations can be adapted to a wide range of downstream tasks via prompt tuning. Prompt tuning probes for beneficial information for downstream tasks from the general knowledge stored in the pretrained model. A recently proposed method named Context Optimization (CoOp) introduces a set of learnable vectors as text prompts from the language side. However, tuning the text prompt alone can only adjust the synthesized “classifier”, while the computed visual features of the image encoder cannot be affected, thus leading to suboptimal solutions. In this article, we propose a novel dual-modality prompt tuning (DPT) paradigm through learning text and visual prompts simultaneously. To make the final image feature concentrate more on the target visual concept, a class-aware visual prompt tuning (CAVPT) scheme is further proposed in our DPT. In this scheme, the class-aware visual prompt is generated dynamically by performing the cross attention between text prompt features and image patch token embeddings to encode both the downstream task-related information and visual instance information. Extensive experimental results on 11 datasets demonstrate the effectiveness and generalization ability of the proposed method.","","IEEE Transactions on Multimedia","1","10.1109/tmm.2023.3291588","https://consensus.app/papers/dual-modality-prompt-tuning-for-visionlanguage-xing-wu/80b0eeee6b5c50959d92ea27b5dd9fc2/"
"Learning Visual Grounding from Generative Vision and Language Model","Generative vision and language models can effectively scale up visual grounding tasks by leveraging existing knowledge and incorporating object attributes and spatial relations.","Shijie Wang, Dahun Kim, A. Taalimi, Chen Sun, Weicheng Kuo",2024,18,"Visual grounding tasks aim to localize image regions based on natural language references. In this work, we ex-plore whether generative VLMs predominantly trained on image-text data could be leveraged to scale up the text an-notation of visual grounding data. We find that grounding knowledge already exists in generative VLM and can be elicited by proper prompting. We thus prompt a VLM to generate object-level descriptions by feeding it object regions from existing object detection datasets. We fur-ther propose attribute modeling to explicitly capture the im-portant object attributes, and spatial relation modeling to capture inter-object relationship, both of which are common linguistic pattern in referring expression. Our constructed dataset (500K images, 1M objects, 16M referring expressions) is one of the largest grounding datasets to date, and the first grounding dataset with purely model-generated queries and human-annotated objects. To verify the qual-ity of this data, we conduct zero-shot transfer experiments to the popular RefCoco benchmarks for both referring expression comprehension (REC) and segmentation (RES) tasks. On both tasks, our model significantly outperform the state-of-the-art approaches without using human anno-tated visual grounding data. Our results demonstrate the promise of generative VLM to scale up visual grounding in the real world.","","2025 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)","","10.1109/wacv61041.2025.00782","https://consensus.app/papers/learning-visual-grounding-from-generative-vision-and-wang-kim/1327c6e3d55d599fa13f80ac6d10e35f/"
"LVLM-Intrepret: An Interpretability Tool for Large Vision-Language Models","LVLM-Intrepret is an interactive application that enhances the interpretability of image patches in large vision-language models, helping users investigate and understand their internal mechanisms.","Gabriela Ben-Melech Stan, R. Y. Rohekar, Yaniv Gurwicz, M. L. Olson, Anahita Bhiwandiwalla, Estelle Aflalo, Chenfei Wu, Nan Duan, Shao-Yen Tseng, Vasudev Lal",2024,31,"In the rapidly evolving landscape of artificial intelligence, multi-modal large language models are emerging as a significant area of interest. These models, which combine various forms of data input, are becoming increasingly popular. However, understanding their internal mechanisms remains a complex task. Numerous advancements have been made in the field of explainability tools and mechanisms, yet there is still much to explore. In this work, we present a novel interactive application aimed towards understanding the internal mechanisms of large vision-language models. Our interface is designed to enhance the interpretability of the image patches, which are instrumental in generating an answer, and assess the efficacy of the language model in grounding its output in the image. With our application, a user can systematically investigate the model and uncover system limitations, paving the way for enhancements in sys-tem capabilities. Finally, we present a case study of how our application can aid in understanding failure mechanisms in a popular large multi-modal model: LLaVA.","","ArXiv","","10.48550/arxiv.2404.03118","https://consensus.app/papers/lvlmintrepret-an-interpretability-tool-for-large-stan-rohekar/61b44acbb7a4589ba878589412374428/"
"Sycophancy in vision-language models: A systematic analysis and an inference-time mitigation framework","This study proposes an inference-time mitigation framework that effectively mitigates sycophancy in vision-language models, improving performance and ensuring trustworthy multimodal reasoning.","Yunpu Zhao, Rui Zhang, Junbin Xiao, Changxin Ke, Ruibo Hou, Yifan Hao, Ling-ling Li",2024,4,"","","Neurocomputing","1","10.1016/j.neucom.2025.131217","https://consensus.app/papers/sycophancy-in-visionlanguage-models-a-systematic-zhao-zhang/e4610f69611b527d8e0b079832497dba/"
"Prompt Engineering and the Effectiveness of Large Language Models in Enhancing Human Productivity","Prompt engineering, which involves creating clear, structured, and context-aware user prompts, significantly improves the effectiveness and productivity of large language models in various domains.","Rizal Khoirul Anam",2025,2,"The widespread adoption of large language models (LLMs) such as ChatGPT, Gemini, and DeepSeek has significantly changed how people approach tasks in education, professional work, and creative domains. This paper investigates how the structure and clarity of user prompts impact the effectiveness and productivity of LLM outputs. Using data from 243 survey respondents across various academic and occupational backgrounds, we analyze AI usage habits, prompting strategies, and user satisfaction. The results show that users who employ clear, structured, and context-aware prompts report higher task efficiency and better outcomes. These findings emphasize the essential role of prompt engineering in maximizing the value of generative AI and provide practical implications for its everyday use.","non-rct observational study","ArXiv","","10.48550/arxiv.2507.18638","https://consensus.app/papers/prompt-engineering-and-the-effectiveness-of-large-anam/5e7e215b52e55415b5c629de6a5b039d/"
"Evaluating Multimodal Vision-Language Model Prompting Strategies for Visual Question Answering in Road Scene Understanding","NVIDIA's Vision-Language Model (ViLA) shows potential in enhancing traffic scene analysis and autonomous driving, with strengths in quality assessment but challenges in lane counting, intersection recognition, and nuanced scene understanding.","Aryan Keskar, Srinivasa Perisetla, Ross Greer",2025,15,"Understanding complex traffic scenes is a crucial challenge in advancing autonomous driving systems. Visual Question Answering (VQA) tasks have emerged as a promising approach to extracting actionable insights from multimodal traffic data, enabling vehicles to make accurate, real-time decisions. The MAPLM-QA dataset, introduced as part of the 2025 WACV Large Language Vision Models Challenge for Autonomous Driving (LLVM-AD), offers a robust benchmark for this task, comprising 14,000 multi-modal frames combining high-resolution panoramic images and rendered Bird's Eye View (BEV) depictions of LiDAR 3D point clouds. In this work, we explore the application of NVIDIA's Vision-Language Model (ViLA) to address VQAs in MAPLM-QA. By employing detailed prompt engineering tailored to the dataset, we systematically evaluate ViLA's performance, identifying strengths in certain metrics such as quality assessment while highlighting challenges in lane counting, intersection recognition, and nuanced scene understanding. Our findings illustrate the potential of Vision-Language Models (VLMs) in enhancing traffic scene analysis and autonomous driving, establishing a strong foundation and analysis of limitations for future research in leveraging VLMs and multimodal datasets toward scalable, robust traffic scene understanding.","","2025 IEEE/CVF Winter Conference on Applications of Computer Vision Workshops (WACVW)","","10.1109/wacvw65960.2025.00115","https://consensus.app/papers/evaluating-multimodal-visionlanguage-model-prompting-keskar-perisetla/210776af64145cd4bd0afda8a701f81c/"
